,event_id,user_id,event_type,event_time,level_completed,event_day,event_month,event_year
0,1,67,level_completed,2024-03-10,37,10,3,2024
1,2,269,level_completed,2024-05-07,30,7,5,2024
2,3,970,level_completed,2024-03-21,12,21,3,2024
3,4,322,achievement_unlocked,2024-01-27,17,27,1,2024
4,5,664,item_used,2024-08-21,12,21,8,2024
5,6,326,achievement_unlocked,2024-01-03,8,3,1,2024
6,7,22,level_completed,2024-02-19,25,19,2,2024
7,8,864,item_used,2024-01-05,49,5,1,2024
8,9,487,achievement_unlocked,2024-06-16,9,16,6,2024
9,10,329,level_completed,2024-05-09,41,9,5,2024
10,11,861,item_used,2024-03-19,20,19,3,2024
11,12,755,item_used,2024-06-06,31,6,6,2024
12,13,117,item_used,2024-01-29,36,29,1,2024
13,14,462,level_completed,2024-03-01,44,1,3,2024
14,15,371,level_completed,2024-03-21,48,21,3,2024
15,16,21,level_completed,2024-04-12,34,12,4,2024
16,17,707,level_completed,2024-09-25,20,25,9,2024
17,18,817,achievement_unlocked,2024-03-30,5,30,3,2024
18,19,279,level_completed,2024-04-18,30,18,4,2024
19,20,382,item_used,2024-07-18,12,18,7,2024
20,21,95,level_completed,2024-01-07,11,7,1,2024
21,22,691,level_completed,2024-02-08,5,8,2,2024
22,23,6,achievement_unlocked,2024-06-21,37,21,6,2024
23,24,421,achievement_unlocked,2024-02-03,24,3,2,2024
24,25,200,achievement_unlocked,2024-03-17,13,17,3,2024
25,26,922,achievement_unlocked,2024-04-13,32,13,4,2024
26,27,717,level_completed,2024-06-29,8,29,6,2024
27,28,886,achievement_unlocked,2024-04-08,42,8,4,2024
28,29,136,item_used,2024-07-20,37,20,7,2024
29,30,168,achievement_unlocked,2024-05-14,47,14,5,2024
30,31,673,level_completed,2024-05-14,18,14,5,2024
31,32,909,achievement_unlocked,2024-04-22,43,22,4,2024
32,33,502,level_completed,2024-03-06,1,6,3,2024
33,34,399,item_used,2024-08-30,14,30,8,2024
34,35,928,level_completed,2024-01-16,1,16,1,2024
35,36,418,level_completed,2024-09-01,26,1,9,2024
36,37,130,item_used,2024-02-05,43,5,2,2024
37,38,23,level_completed,2024-07-23,21,23,7,2024
38,39,749,item_used,2024-09-01,3,1,9,2024
39,40,755,achievement_unlocked,2024-03-21,20,21,3,2024
40,41,248,level_completed,2024-01-01,24,1,1,2024
41,42,826,achievement_unlocked,2024-02-05,3,5,2,2024
42,43,533,level_completed,2024-08-19,23,19,8,2024
43,44,223,item_used,2024-09-27,29,27,9,2024
44,45,50,level_completed,2024-06-05,32,5,6,2024
45,46,557,achievement_unlocked,2024-02-19,23,19,2,2024
